------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd at 30 Hz  -----------
Serial Number: MOS2E28230210
Start Time 14:32:00
Start Date 2025-10-09
Epoch Period (hh:mm:ss) 00:00:00
Download Time 15:43:59
Download Date 2025-10-09
Current Memory Address: 0
Current Battery Voltage: 0     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.004,0.406,-0.664
0.555,0.457,-0.363
0.766,0.633,0.176
0.73,0.703,0.582
0.758,0.719,0.703
0.754,0.707,0.473
0.602,0.688,0.285
0.688,0.652,0.203
0.805,0.605,0.273
0.77,0.602,0.297
0.688,0.613,0.266
0.703,0.613,0.25
0.727,0.555,0.277
0.719,0.523,0.262
0.723,0.551,0.234
0.762,0.578,0.215
0.754,0.602,0.18
0.785,0.637,0.176
0.902,0.723,0.16
0.887,0.66,0.277
0.66,0.852,0.211
0.574,0.895,0.199
0.004,0.715,0.438
-0.156,0.609,0.676
0.219,0.754,0.656
-0.055,0.742,0.832
0.227,0.539,0.73
0.633,0.633,0.383
0.641,0.738,-0.016
-0.148,0.977,-0.438
0.574,0.598,-0.711
0.438,0.781,-0.184
0.395,0.852,-0.004
0.535,0.555,0.473
0.395,0.246,-1.008
0.719,0.293,-1.199
0.121,-0.008,-0.559
0.398,0.855,-0.602
0.453,0.77,-0.793
0.238,0.449,-0.789
0.078,0.117,-1.066
0.242,0.605,-0.957
0.391,0.367,-0.578
0.105,0.461,-0.996
0.266,1.309,-1.391
0.313,0.57,-1.309
0.922,-0.117,-0.598
0.168,0.563,-1.059
-0.145,0.422,-1.207
0.199,0.41,-0.738
0.277,0.859,-1.359
0.137,0.664,-1.148
0.113,0.719,-0.844
-0.051,0.691,-0.531
-0.301,0.781,-0.375
0.094,0.398,-0.691
0.469,0.051,-1.164
0.379,0.242,-1.234
0.02,0.406,-0.914
-0.109,0.375,-0.793
0.133,0.098,-1
0.449,-0.059,-1.004
0.012,0.09,-0.789
0.051,0.012,-0.801
-0.145,0.453,-1.004
0.484,0.164,-0.641
0.164,-0.27,-1.195
0.098,-0.125,-1.004
-0.055,0.012,-0.684
-0.031,-0.051,-0.73
0.176,-0.031,-0.707
-0.055,0.348,-0.992
0.129,0.5,-1.211
-0.121,0.582,-1.055
-0.055,0.332,-0.984
0.008,0.344,-1.121
0.023,0.285,-1.148
0.125,0.262,-1.125
0.211,0.398,-1.258
0.348,0.332,-1
0.141,0.273,-1.023
-0.488,0.383,-1.094
0.035,0.152,-1.043
-0.184,0.262,-0.988
-0.09,0.25,-1.066
-0.215,0.488,-0.848
-0.379,0.637,-0.922
-0.313,0.621,-0.867
-0.016,0.648,-0.891
-0.398,0.691,-0.617
-0.379,0.859,-0.258
-0.555,0.996,-0.461
-0.457,0.887,-0.055
-0.5,0.75,0.113
-0.73,0.816,0.063
-0.047,0.926,0.066
0.09,0.77,-0.066
0.484,0.754,-0.23
0.641,0.762,-0.531
0.133,0.789,-0.164
-0.105,1.059,-0.324
-0.27,1.504,-0.719
-0.605,1.117,-0.109
-0.422,1.098,-0.48
-0.52,0.977,-0.063
-0.523,0.453,-0.66
-0.563,0.789,-1.016
0.07,0.594,-0.723
0.438,0.273,-1.152
-0.078,0.793,-0.535
-0.043,1,-1.074
-0.008,0.98,-0.699
0.371,0.539,0.313
0.184,0.832,-0.063
0.184,0.762,0.32
0.309,1.133,0.41
0.148,0.883,0.195
-0.109,0.992,0.262
-0.063,0.969,0.605
-0.273,1.133,0.207
-0.355,1.094,-0.391
0.488,0.988,-0.301
-0.109,0.977,-0.016
-0.641,1.191,0.473
-0.094,0.98,-0.805
1.047,0.777,-0.254
-0.352,1.039,0.582
0.035,0.93,-0.246
0.23,0.988,-0.074
0.031,0.867,-0.004
-0.004,1.109,0.078
-0.07,1.051,-0.004
0.023,0.922,-0.059
0.051,0.988,-0.047
0.105,1.063,0.047
0.031,0.973,-0.031
-0.09,1.051,-0.004
0.133,1.004,-0.004
0.055,0.93,-0.051
-0.031,1.008,-0.055
0.008,1.008,-0.086
0.105,0.977,-0.098
-0.051,0.977,-0.113
-0.176,0.957,-0.105
-0.043,0.961,-0.109
-0.012,0.953,-0.098
-0.035,0.988,-0.086
-0.016,1,-0.07
0.031,1.016,-0.051
0.023,1.031,-0.043
0.016,1.008,-0.055
0.02,0.996,-0.047
0.016,0.988,-0.055
-0.008,0.984,-0.074
-0.027,0.988,-0.078
-0.016,0.988,-0.07
-0.008,0.988,-0.051
-0.012,0.973,-0.074
0.012,0.992,-0.059
0.012,1.012,-0.051
0.02,1.012,-0.031
-0.016,1.004,-0.047
-0.016,0.996,-0.055
-0.016,0.984,-0.063
-0.02,0.992,-0.059
-0.004,1.004,-0.063
-0.004,0.996,-0.055
-0.008,0.992,-0.059
-0.012,0.992,-0.051
-0.004,0.992,-0.051
-0.004,0.984,-0.055
0.02,0.988,-0.051
0.039,0.992,-0.055
0.016,0.996,-0.055
-0.012,0.996,-0.063
-0.012,1.004,-0.059
-0.023,0.996,-0.07
-0.039,0.992,-0.078
-0.035,1,-0.086
0.004,0.992,-0.07
0.008,1.004,-0.07
0.004,0.988,-0.066
0.016,1,-0.055
0.086,0.965,-0.059
-0.039,1,-0.047
0.047,0.98,-0.023
0.07,0.992,0
0.039,1.008,0
0.031,0.977,-0.016
0.02,1,-0.02
0,0.996,-0.055
0.023,1.004,-0.055
0.027,1.008,-0.051
0.031,0.98,-0.074
0.023,0.977,-0.066
0.031,1.004,-0.055
0.027,0.988,-0.023
0.043,0.992,-0.027
0.031,0.98,-0.004
0.059,0.992,0.023
0.063,1,0.027
0.063,0.996,0.02
0.059,0.992,0.012
0.039,0.996,0
0.016,0.984,-0.023
0.023,0.988,-0.035
0.027,1,-0.039
0.023,0.992,-0.047
0.035,0.992,-0.035
0.047,0.988,-0.023
0.043,1,-0.031
0.039,0.996,-0.023
0.043,0.988,-0.016
0.035,0.992,-0.02
0.031,0.996,-0.027
0.023,0.996,-0.031
0.016,0.992,-0.059
0.012,1.004,-0.051
0.012,0.988,-0.055
0.008,0.98,-0.051
