Accelerometer X,Accelerometer Y,Accelerometer Z
0.629,0.527,0.477
0.586,0.418,0.23
0.414,1.203,-0.473
0.691,0.422,0.066
0.656,0.566,0.063
0.43,1.09,0.23
0.414,0.48,-0.242
0.59,0.238,-0.656
0.574,1.063,-1.066
0.152,1.188,-0.848
0.195,0.672,-0.484
0.543,0.68,1.129
0.34,1.016,0.375
0.227,0.844,-0.324
0.27,0.605,-0.828
0.211,0.633,-0.789
0.418,0.512,-0.668
0.137,0.773,-1.016
0.188,0.457,-0.977
0.258,0.539,-0.816
0.078,0.84,-0.645
0.066,0.918,-0.535
0.238,1.777,0.629
-0.586,0.535,-0.723
0.305,0.699,-1.215
0.492,0.43,-0.625
0.008,0.289,-0.93
0.086,0.547,-0.879
-0.055,0.168,-0.547
0.086,0.566,-1.043
0.09,0.164,-0.68
-0.047,0.422,-0.707
-0.172,0.438,-0.898
-0.184,0.039,-1.215
0.07,0.043,-0.684
0.172,0.188,-0.473
0.484,-0.637,-1.219
0.695,-0.777,-0.82
0.246,-0.195,-0.75
-0.031,0.09,-1.168
0.23,0.051,-0.84
0.184,-0.105,-0.441
0,0.105,-0.527
-0.109,0.133,-0.512
-0.199,1.828,-0.164
-0.063,0.375,-1.238
-0.254,0.418,-0.809
-0.332,1.043,-0.461
-0.348,0.961,-0.922
-0.516,1.27,-0.711
-0.887,1.512,-1.07
-0.609,1.176,-0.98
-0.52,0.82,-0.984
-0.48,0.57,-0.957
-0.469,0.344,-0.98
-0.402,0.059,-0.781
-0.852,0.5,-0.742
-0.801,0.539,-0.297
-0.508,0.316,-0.535
-0.75,0.648,-0.516
-0.777,0.699,-0.344
-0.77,0.516,-0.305
-0.84,0.754,-0.703
-1.043,0.961,-0.5
-0.898,0.883,-0.551
-0.313,0.754,-0.68
-0.195,0.961,-0.559
-0.285,0.887,-0.227
-0.457,1.012,0.027
-0.41,0.75,-0.191
-0.613,0.758,-0.125
-0.98,0.5,0.027
-0.199,0.43,0.023
-0.313,0.641,-0.184
-0.754,0.609,-1.184
-0.688,0.703,-0.594
-0.348,0.727,-0.688
-0.352,0.598,-0.895
-0.645,0.566,-1.27
-0.438,0.547,-1.016
-0.281,0.504,-0.805
-0.426,0.602,-1.004
-0.242,0.527,-0.566
0.031,0.52,-0.191
-0.055,0.59,-0.578
-0.094,1.328,-0.016
0.137,1.047,-0.379
0.004,1.16,-0.488
-0.098,1.094,-0.32
0.219,0.738,-0.113
0.215,0.707,-0.18
0.063,0.75,-0.324
0.031,0.305,-0.742
-0.609,0.809,-0.414
-0.117,1.039,-0.77
0.934,0.867,-1.336
-0.66,0.727,-0.645
0.148,0.617,0.109
0.414,1,-0.809
0.375,0.684,-0.727
-0.09,0.527,0.758
-0.027,1.004,0.344
-0.176,1.039,-0.055
0.063,0.984,0.273
-0.125,1.145,0.141
-0.109,1.012,0.098
-0.527,1.02,-0.039
0.383,1.051,0.297
-0.102,1.172,0.168
-0.133,0.883,0.023
-0.52,0.945,-0.008
0.238,1.098,0.27
-0.039,0.961,0.039
-0.109,0.91,-0.043
-0.324,1.027,-0.098
-0.02,1.063,-0.016
0.043,0.945,-0.039
0.02,0.961,-0.016
0.023,0.965,-0.004
-0.023,0.965,-0.039
0.035,1.051,0.059
0.063,1.047,0.117
0.094,1.137,0.078
0.109,0.945,0.211
0.043,1.07,0.18
0.098,0.785,0.16
0.152,0.875,0.039
0.129,0.93,0.254
0.094,0.836,0.414
0.063,0.945,0.215
0.016,0.988,0.188
-0.066,1.051,0.063
-0.012,0.996,0.266
0.016,1.012,0.23
-0.055,1.059,0.227
0.027,0.863,0.461
0.02,1.008,0.504
0.246,1.074,0.434
0.18,0.844,0.324
0.188,0.832,-0.031
0.18,1.008,-0.438
0.082,0.898,-0.422
0.031,0.77,0.234
-0.031,0.785,0.754
0.078,0.914,0
0.043,0.793,-0.605
0.02,0.859,0.02
0.152,0.918,0.633
0.348,0.957,0.641
