------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd at 30 Hz  -----------
Serial Number: MOS2E28230210
Start Time 11:48:00
Start Date 2025-10-10
Epoch Period (hh:mm:ss) 00:00:00
Download Time 12:19:19
Download Date 2025-10-10
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.008,1.004,-0.246
-0.012,0.965,-0.262
-0.004,0.965,-0.254
0.004,0.961,-0.266
0.004,0.965,-0.262
0.004,0.957,-0.254
0.008,0.949,-0.262
0.004,0.965,-0.262
0.008,0.965,-0.254
0.004,0.957,-0.266
0.004,0.965,-0.27
0.004,0.953,-0.258
0.008,0.965,-0.258
0.012,0.965,-0.258
0.016,0.961,-0.262
0.012,0.965,-0.254
0.012,0.973,-0.258
0.004,0.973,-0.25
0.004,0.961,-0.262
0.004,0.957,-0.258
-0.008,0.965,-0.258
0,0.973,-0.254
-0.004,0.961,-0.254
0.004,0.965,-0.254
0.008,0.965,-0.258
0.008,0.965,-0.25
0.008,0.965,-0.254
0.004,0.961,-0.254
0.008,0.965,-0.25
0.008,0.965,-0.254
0.004,0.973,-0.262
0.004,0.961,-0.258
0.004,0.961,-0.254
0.004,0.965,-0.258
0.012,0.953,-0.254
0.016,0.961,-0.254
0.012,0.965,-0.254
0.012,0.961,-0.254
-0.004,0.965,-0.254
0.012,0.98,-0.242
0.039,0.957,-0.195
0.027,0.973,-0.227
0.02,0.984,-0.219
0.012,0.984,-0.219
-0.012,0.98,-0.227
-0.02,0.973,-0.223
-0.016,0.965,-0.23
-0.008,0.965,-0.227
0.012,0.969,-0.223
0.02,0.969,-0.223
0.012,0.969,-0.234
0,0.977,-0.246
0.012,0.961,-0.238
0.023,0.965,-0.234
0.023,0.973,-0.23
0.023,0.977,-0.23
0.023,0.961,-0.223
0.023,0.977,-0.223
0.012,0.98,-0.227
0.008,0.965,-0.223
0.004,0.969,-0.227
0.004,0.973,-0.227
0.016,0.969,-0.219
0.012,0.977,-0.223
0.027,0.973,-0.215
0.02,0.973,-0.219
0.008,0.969,-0.215
0.004,0.973,-0.223
0.004,0.969,-0.223
0.016,0.965,-0.219
0.027,0.973,-0.219
0.027,0.969,-0.215
0.023,0.969,-0.215
0.012,0.969,-0.219
0.012,0.969,-0.223
0.02,0.98,-0.223
0.02,0.973,-0.223
0.012,0.977,-0.223
0.016,0.973,-0.211
0.023,0.973,-0.211
0.016,0.977,-0.211
0.023,0.98,-0.199
0.02,0.98,-0.203
0.012,0.973,-0.207
0.02,0.984,-0.207
0.023,0.973,-0.203
0.016,0.977,-0.207
0.016,0.973,-0.211
0.008,0.969,-0.207
0.008,0.969,-0.215
-0.004,0.984,-0.211
0.02,0.973,-0.203
0.023,0.98,-0.195
0.016,0.973,-0.203
0.008,0.977,-0.207
-0.004,0.973,-0.215
0,0.98,-0.219
0.012,0.98,-0.219
0.02,0.965,-0.215
0.02,0.965,-0.219
0.02,0.98,-0.211
0.027,0.984,-0.215
0.031,0.969,-0.203
0.02,0.969,-0.203
0.023,0.973,-0.203
0.023,0.98,-0.207
0.016,0.973,-0.215
0,0.98,-0.215
0.004,0.969,-0.215
-0.004,0.973,-0.219
0.012,0.977,-0.211
0.023,0.973,-0.211
