Accelerometer X,Accelerometer Y,Accelerometer Z
0.043,1.02,0.02
0.035,1.004,0.0
0.035,0.988,0.016
0.031,0.992,0.008
0.02,0.992,-0.016
0.012,0.988,-0.016
0.008,0.988,-0.02
-0.008,0.988,-0.012
-0.023,0.996,-0.016
-0.012,0.992,-0.004
-0.004,0.992,0.004
0.008,0.988,-0.004
0.012,0.992,-0.004
-0.004,0.996,-0.004
0.004,0.992,0.012
0.023,1.0,0.0
0.023,0.992,0.004
0.031,0.992,0.02
0.043,0.996,0.016
0.047,0.992,0.004
0.043,0.988,0.016
0.035,0.996,0.004
0.047,0.992,0.02
0.023,0.988,0.043
0.004,0.992,0.031
-0.031,0.996,0.066
-0.039,0.945,0.102
-0.027,0.977,0.047
-0.023,1.012,0.039
-0.102,1.051,0.043
-0.18,1.031,0.078
-0.082,1.023,0.129
0.098,0.957,0.164
0.355,0.973,0.176
0.402,1.0,0.117
0.266,1.016,0.102
0.211,0.953,0.035
0.227,0.902,0.016
0.18,0.961,-0.004
0.102,1.063,-0.02
0.125,0.988,-0.012
0.125,0.949,0.0
0.141,0.977,0.0
0.156,1.0,-0.016
0.121,0.984,0.012
0.113,0.98,0.0
0.086,0.988,0.008
0.078,0.984,0.023
0.078,0.977,0.012
0.086,1.0,0.047
0.082,0.984,0.02
0.082,0.965,0.043
0.082,0.992,0.043
0.102,0.992,0.043
0.105,0.969,0.043
0.105,0.984,0.035
0.105,0.98,0.043
0.109,0.992,0.039
0.105,0.969,0.031
0.094,0.984,0.043
0.086,1.004,0.039
0.086,0.992,0.035
0.102,0.984,0.047
0.094,0.992,0.039
0.098,0.984,0.043
0.109,0.98,0.047
0.102,0.977,0.035
0.109,0.984,0.047
0.113,0.98,0.027
0.129,0.984,0.035
0.141,0.988,0.043
0.141,0.992,0.039
0.133,0.988,0.023
0.145,0.98,0.008
0.18,0.969,0.027
0.191,0.988,0.047
0.152,0.992,0.031
0.141,0.98,0.047
0.113,0.992,0.039
0.082,0.992,0.031
0.07,0.973,0.027
0.086,0.98,0.027
0.066,0.984,0.016
0.09,0.973,0.035
0.105,0.996,0.039
0.102,1.004,0.047
0.082,1.012,0.059
0.086,1.0,0.066
0.055,0.996,0.043
0.016,0.992,0.035
0.008,0.996,0.039
0.051,0.984,0.02
0.102,0.992,0.031
0.109,0.988,-0.004
0.055,1.027,-0.008
0.063,0.965,-0.031
0.066,0.965,-0.027
0.063,0.988,-0.031
0.047,1.008,-0.047
0.055,0.984,-0.051
0.066,0.988,-0.039
0.07,0.977,-0.043
0.063,1.0,-0.039
0.063,0.984,-0.047
0.063,0.988,-0.043
0.066,0.988,-0.055
0.055,1.008,-0.039
0.066,0.988,-0.055
0.066,0.992,-0.047
0.07,0.984,-0.051
0.066,0.984,-0.051
0.063,0.98,-0.074
0.07,0.984,-0.051
0.074,0.992,-0.051
0.07,1.008,-0.027
0.059,0.973,-0.055
0.055,0.992,-0.039
0.063,0.996,-0.043
0.078,0.992,-0.027
0.086,0.98,-0.035
0.09,1.004,-0.027
0.094,0.996,-0.031
0.086,0.988,-0.035
0.082,1.0,-0.055
0.09,0.992,-0.035
0.098,1.0,-0.027
0.121,0.996,-0.023
0.121,0.969,-0.023
0.145,0.984,-0.012
0.137,1.004,-0.02
0.137,0.973,-0.023
0.129,0.992,-0.02
0.148,1.004,-0.051
0.172,0.965,-0.059
0.172,0.965,-0.066
0.145,0.988,-0.051
0.109,0.984,-0.051
0.109,0.996,-0.063
0.07,0.988,-0.074
0.012,0.961,-0.133
0.023,0.977,-0.145
0.027,0.984,-0.152
0.055,0.961,-0.125
0.09,1.008,-0.098
0.102,1.0,-0.098
0.063,0.961,-0.133
0.039,0.977,-0.125
0.027,0.98,-0.117
0.004,0.961,-0.137
0.0,0.98,-0.133
-0.023,0.973,-0.121
-0.008,0.992,-0.078
0.008,0.98,-0.098
0.016,1.02,-0.098
-0.027,1.02,-0.102
-0.082,0.973,-0.137
-0.027,1.004,-0.141
-0.023,1.012,-0.164
-0.066,0.977,-0.152
-0.039,0.984,-0.145
-0.02,1.043,-0.16
-0.031,0.984,-0.137
-0.016,0.957,-0.141
0.121,0.918,-0.078
0.035,1.008,-0.102
-0.051,1.0,-0.156
-0.086,0.988,-0.133
-0.051,1.105,-0.164
0.023,0.996,-0.125
0.039,0.988,-0.098
0.012,0.984,-0.152
0.031,0.91,-0.074
-0.023,0.957,-0.152
-0.008,1.027,-0.102
0.012,0.965,-0.09
0.02,0.973,-0.086
0.016,0.906,-0.078
-0.02,1.031,-0.074
-0.066,1.039,-0.055
-0.066,1.004,-0.09
-0.027,1.016,-0.105
-0.039,1.0,-0.094
-0.016,0.977,-0.102
-0.012,0.992,-0.09
-0.012,1.0,-0.082
0.0,0.973,-0.094
-0.027,0.992,-0.113
-0.031,0.996,-0.113
-0.027,0.988,-0.102
-0.004,0.98,-0.102
0.004,0.969,-0.098
-0.016,0.992,-0.094
-0.031,0.996,-0.09
-0.02,0.992,-0.098
-0.012,0.98,-0.121
-0.012,1.008,-0.105
-0.039,0.992,-0.102
-0.023,0.996,-0.086
-0.027,0.988,-0.09
-0.023,0.965,-0.09
0.0,0.98,-0.094
-0.027,0.996,-0.105
-0.051,1.023,-0.113
-0.063,1.0,-0.102
-0.023,0.988,-0.09
0.023,0.973,-0.086
-0.004,0.984,-0.09
-0.055,1.016,-0.113
-0.063,0.992,-0.117
